text|labels
"W czasie ostatnich dni nasiliła się eskalacja błędnych informacji, pewien chaos medialny. Próbuje się zmienić stary skostniały system, on zawsze będzie się opierał. (…) Ta ustawa jest bardzo trudna. Wprowadza elementarny porządek w sektorze leków, gwarantuje dostęp do nowoczesnego i skutecznego leczenia dla wszystkich pacjentów, a nie tylko tych, których na to stać. Kończy się pewien etap: etap dzikiego zachodu w polskiej polityce lekowej.
"|0
"W pierwszym dniu, kiedy wrócimy do władzy, rozliczymy tych, którzy niszczą w Polsce demokrację i przywrócimy normalność.
"|0
"Wpadliście w histerię, jako rząd i PiS, dlatego, że wiecie już, że jedziecie na czołowe zderzenie z Unią Europejską i właściwie jedziecie bez hamulców. Ręczny może zaciągnąć tylko jeden człowiek, ale i tak wiecie, że wpadniecie w poślizg.
"|0
"W rządach Jarosława Kaczyńskiego były dwa etapy. Pierwszy taki, w którym był wielkim zwolennikiem wideoloterii i otworzenia kilkunastu (…). I tworzono ustawę pisaną przez Totalizator i tu przyznał się premier do błędu. Powiedział, że to był błąd, który popełnił, że pozwolił na tą sytuację i potem wejście do gry Zyty Gilowskiej i całkowita odmiana polityki i strategii wokół hazardu.
"|0
"W służbach, ale i po części w policji szerzy się demoralizacja – albo nie potrafią pracować, albo wykonując polityczne rozkazy, popełniają błędy, często także wykroczenia. Efektem jest ogromna nieudolność. Potrafią tylko kogoś obudzić o szóstej rano i wyprowadzić w kajdankach. Nie są to służby demokratycznego państwa prawa, ale służby bezpieczeństwa PiS w państwie prywatnym.
"|0
"A kiedy przed laty prowadziłam licytacje na rzecz ofiar powodzi, arcybiskup śląski Damian Zimoń powiedział, że moja energia to jest dar od Boga i że muszę ją spożytkować dla innych ludzi. Więc staram się, jak mogę.
"|0
"Język polski należy chronić jako dobro narodowe, jako ważny składnik tożsamości narodowej. (…) Wobec globalizacji języki narodowe rzeczywiście są zagrożone. My po polsku myślimy, po polsku się modlimy, po polsku wychowujemy dzieci. I tak powinno zostać.
"|0
"Właśnie wtedy pani Irena Lipowicz, wieloletnia ambasador RP w Austrii, namówiła mnie, żebym kandydowała. Na początku uważałam to za nonsens: przecież to nie dla mnie, jestem bezpartyjna. Ale lubię wyzwania. Ta decyzja wywołała w moim życiu zamieszanie. Nie pozwolono mi np., po 15 latach, prowadzić w radiu popularnej na Śląsku autorskiej audycji o zdrowiu. Zaczęto mnie traktować jak groźnego konkurenta dla jakichś tam ugrupowań. (…) Decyzji jednak nie żałuję.
"|0
"Dla mnie to bardzo przykre, że człowiek, który na Zachodzie cieszy się poparciem i uznaniem, w Polsce jest ciągany po sądach przez oszołomów. Czasem sam do niego mówię: ""Lechu, ty już potwierdziłeś swojego zasługi, nie przejmuj się tym, co gadają niektórzy"". A on się przejmuje i chodzi do sądu z tymi pieskami, które chodzą i obszczekują go.
"|0
"Lech Kaczyński na strajku w stoczni był nie dłużej niż godzinę. Nie negocjował ze stroną rządową. Widziałem go w Sali BHP raz, około 25 sierpnia. Nie odegrał wówczas żadnej roli na strajku. Nie spotykał się też z nami by omówić początek strajku. Pod kasztanem we Wrzeszczu gdzie ustalaliśmy szczegóły go nie było.
"|0
"Czytanie książek uczy rozumienia tekstu, rozumienia rzeczywistości, uruchamia wyobraźnię. Jeśli nauczymy młodych ludzi kreatywnego operowania obrazem, słowem, dźwiękiem, to nie będą w pracy myśleć schematycznie.
"|0
"Dziś sieciowo rozwijająca się gospodarka daje wartość dodaną wtedy, kiedy ludzie mają odpowiednie kompetencje społeczne. Hierarchiczne struktury zarządzania przedsiębiorstwami, z układem z góry do dołu, są mniej konkurencyjne od tych „poziomych”, które stawiają na kooperację. Biotechnologia, przemysł farmaceutyczny, logistyka łańcuchów dostaw – tego wszystkiego nie da się zrobić bez nowych mechanizmów kooperacyjnych. Kapitał społeczny to nie tylko dobre samopoczucie obywateli wierzących w swój kraj i chodzących głosować. Wzrost kapitału społecznego przynosi efekt ekonomiczny. A Polska ma jego olbrzymi deficyt.
"|0
"Gdyby to zależało ode mnie, nie likwidowałbym OFE. Uważam że popełniliśmy błąd, ratując pieniędzmi z OFE bieżący bilans budżetu. Uzyskaliśmy efekt na rok.
"|0
"Związki partnerskie powinny być zalegalizowane; adopcja dzieci przez pary jednopłciowe to temat do dyskusji
"|0
"Jeśli to prawda co mówi premier Piechociński o likwidacji resortów, to znaczy, że nie rozumie co mówi.
"|0
"Jeśli porządek w finansach europejskich mamy osiągnąć kosztem prorozwojowości Europy, to nie ma to sensu. Sensu nabiera tylko i wyłącznie wtedy, kiedy wydatki rozwojowe będą rosły. Bo przecież nie wystarczy żelazna kurtyna przed zarazą nierównowagi w finansach publicznych. Trzeba też budować nowe przewagi konkurencyjne.
"|0
"Jeśli zlikwidujemy szarą strefę w sposób policyjny, to ludzie będą się rejestrować jako bezrobotni. Jeśli w sposób ekonomiczny – to po prostu praca na czarno zostanie zalegalizowana. I tylko w ten sposób jest sens walczyć z szarą strefą.
"|0
"Miałem świadomość, że podpisałem uciekając przed strachem, ale także z myślą o bliskich i nie traktowałem tego zobowiązania jako czegoś poważnego. Błąd jaki popełniłem polegał na tym, że po wypuszczeniu z aresztu nie poinformowałem swoich kolegów ze struktur podziemnych o podpisaniu tej deklaracji.
"|0
"My wbrew stereotypom nie chcemy zniszczyć OFE. Chcemy poważnej, merytorycznej dyskusji, jak bezpiecznie wyjść z pętli zadłużenia. Czyli: z jakich wydatków państwa można zrezygnować, ale z drugiej strony: jakie wydatki trzeba wręcz dodać, żeby rozwój kraju był szybszy.
"|0
"Należy również przeciwdziałać marazmowi innowacyjnemu przedsiębiorców. Polscy przedsiębiorcy są bardzo mało innowacyjni i w związku z tym trzeba spytać, czy nie mamy do czynienia z regresem polskiej przedsiębiorczości, która odniosła tak wielki sukces w okresie transformacji. Dzisiaj powinniśmy tak przestawić impulsy, które płyną do świata biznesu, by mocniej kreowały innowacyjność.
"|0
"Słabością Polski jest planowanie legislacyjne – powstaje masa ustaw nie wiadomo po co. A polskie prawo jest niespójne i kiepskiej jakości.
"|0
"Sprawdziliśmy, jak wygląda czytelnictwo w różnych grupach wiekowych. I okazało się, że dziewczynki czytają książki, a chłopcy nie. Jeśli się do tego nie zabierzemy, to za dziesięć lat co drugi Polak wchodzący na rynek pracy będzie funkcjonalnym analfabetą. (…) Państwo też musi zdać sobie sprawę z tego, jak ważne jest rozbudzanie nawyków kulturowych od wczesnego dzieciństwa i wyrównywanie kapitałów kulturowych u dzieci z różnych rodzin. Bo osiągnięcia młodych ludzi są związane nie tylko ze statusem materialnym rodziny, ale też ze statusem kulturowym.
"|0
"Wymuszono na mnie podpisanie deklaracji współpracy z SB, strasząc, że bez tego żadne z nas nie opuści aresztu i nie będzie mogło opiekować się dzieckiem. Deklarację podpisałem pod presją, z intencją niewywiązywania się z obowiązku współpracy.
"|0
"Zadałem sobie pytanie, czy jestem w stanie zmierzyć się ze swoją przeszłością. I uznałem, że tym wszystkim ludziom, których uczciwości, lojalności i przyjaźni nie sprostałem przez te kilkadziesiąt lat, muszę powiedzieć: przepraszam i proszę o przebaczenie.
"|0
"O 5G, czyli ultraszybkim internecie mówimy coraz częściej. Zaczynamy rozumieć, jak istotne będzie 5G dla nowych zastosowań technologii cyfrowych. W opiece zdrowotnej: szybkie analizowanie (informacje dostarczane w milisekundach) i przesyłanie dużych zbiorów danych, sztuczna Inteligencja zaprzęgnięta do diagnoz chorób, pełne wykorzystanie danych o naszym zdrowiu (za naszą zgodą) w celu większej wiedzy o różnych typach chorób, by - w końcu szybciej i lepiej nas leczyć. Ale można pokazać korzyści w zarządzaniu miastem, transportem, zagrożeniami środowiskowymi. Internet rzeczy da nam możliwość, by lodówka współpracowała z nami w taki sposób, by różne składniki żywienia przechowywane w zindywidualizowanej temperaturze (odpowiedniej dla siebie - inaczej sałata, inaczej mięso, jeszcze inaczej owoce) - były dłużej przydatne, a tym samym zmniejszały skalę wyrzucanego jedzenia (Samsung już jest gotowy do takich rozwiązań).
"|0
"Jacek miał dar i umiejętność rozmawiania z ludźmi. Ale też i dostrzegania wartości w każdym człowieku bez względu na jego przekonania, poglądy, zachowania, wybory życiowe. Mógł CZEGOŚ nie szanować w czyimś postępowaniu, ale znajdował siłę i odwagę, by tego KOGOŚ szanować. Pamiętam te fluidy, które płynęły podczas spotkania Jacka Kuronia i Dalaj Lamy - od obu..... Umiejętność rozmawiania z ludźmi to cecha potrzebna w wielu profesjach. Umiejętność prawdziwego rozmawiania z ludźmi to element misji w prawdziwym uprawianiu polityki. Co jest do tego potrzebne, szczególnie dzisiaj, w czasach populizmu i polityki opartej na emocjach, w czasach post-prawdy ?.
"|0
"Jacek miał dar i umiejętność rozmawiania z ludźmi. Ale też i dostrzegania wartości w każdym człowieku bez względu na jego przekonania, poglądy, zachowania, wybory życiowe. Mógł CZEGOŚ nie szanować w czyimś postępowaniu, ale znajdował siłę i odwagę, by tego KOGOŚ szanować. Pamiętam te fluidy, które płynęły podczas spotkania Jacka Kuronia i Dalaj Lamy - od obu..... Umiejętność rozmawiania z ludźmi to cecha potrzebna w wielu profesjach. Umiejętność prawdziwego rozmawiania z ludźmi to element misji w prawdziwym uprawianiu polityki. Co jest do tego potrzebne, szczególnie dzisiaj, w czasach populizmu i polityki opartej na emocjach, w czasach post-prawdy ?.
"|0
"To, co ważne - to utrzymać spoistość opozycji w Senacie i dobrze podzielić się zadaniami, także budować mosty i współpracę z tymi, którzy myślą inaczej i są w innym obozie rozumienia świata i Polski. Jakieś małe choćby próby przełamywania polaryzacji, wysiłki na rzecz wspólnych projektów - to wyzwanie, które przed marszałkiem Grodzkim stoi jako dodatkowe. To oznacza, że w polityce trzeba pójść dalej - poza anty-pisowski język, poza wyłącznie anty-pisowską tematykę. Senat może być dobrym laboratorium takiego myślenia i takich prac.
"|0
"Tusk jest wyrazisty i ma kompas przyszłości. Ma siłę oddziaływania i staje się (także w Sieci) influencerem. Dlatego może zmieniać nasze myślenie. Dlatego - spokojnie, bez walki o wpływy - może stać się akuszerem nowej polityki w Polsce. Bo słusznie zauważa, że polityka w Polsce jest przestarzała, prowincjonalna...i potrzebuje nowego krwiobiegu idei oraz nowego przywództwa.
"|0
"Potrzebna jest polityka migracyjna z prawdziwego zdarzenia, bez uprzedzeń, ksenofobii, z integracją społeczną tych, którzy tu, do Polski za pracą przyjechali i przyjeżdżają
"|0
OFE miały nas zabezpieczyć na przyszłość. Reforma emerytalna z roku 1999, w pierwotnym kształcie, była całościowym projektem. Miała zarazem zwiększyć aktywność zawodową Polaków, jak też dzięki funkcjonowaniu OFE zdywersyfikować ryzyko wypłaty świadczeń emerytalno-rentowych i zwiększyć ich oczekiwaną wysokość za sprawą lokowania części składek na rynku kapitałowym. Celem zasadniczym OFE było pomnażanie wartości jednostek uczestnictwa.|0
"Jesteśmy u progu spersonifikowanych fake-newsów. Będzie nam bardzo trudno rozpoznać tę dezinformację, bo będzie ona ""swojska"". Już dzisiaj siła dezinformacji polega na tym, ze mamy przy niej wrażenie wolności wyboru.
"|0
"Debilna debata o RODO, która była w Polsce - teorie o tym, ""że matka nie może mówić w szpitalu imienia i nazwiska swojego dziecka"" i tak dalej. To pokazuje mechanizm samo-ogłupiania przez media"|0
"Istota zła patostream polega na tym, że ktoś dostaje pieniądze za np. pobicie swojej matki. ""za tyle i tyle złotych zrobię"" - ludzie wpłacają i czekają na ""widoki"". To jest okropieństwo!"|0
W Polsce jest wielu twórców, którzy zarabiają z YouTube. Jeśli mamy filtrować każdą treść, to wtedy mali i średni twórcy będą bali wrzucać się swoje treści. Takie skutki przynosi art.17. (...)Jestem przeciwnikiem cenzury prewencyjnej.|0
"Nie ma kraju na świecie, w którym dawano by sobie radę z zagrożeniami od razu i to we wszystkich możliwych wymiarach zarazy. Może osiągnięcia Południowej Korei oraz Niemiec pokazują, że stosunkowo szybko można osiągnąć w miarę pełne zdolności zarządzania tym kryzysem mając sprawne systemy opieki zdrowotnej, wyszkoloną administrację, używając nowoczesnych technologii do monitorowania i prognozowania trajektorii wędrówki wirusa. I rozumiejąc, jak ważna jest olbrzymia skala testowania obecności wirusa oraz wyodrębniania grup ryzyka.
"|0
"Legendą jest już to, że za czasów komuny wózek, którym podróżowałem, wykorzystywany był do przewożenia bibuły.
"|0
"Mówimy głośno o spółce Srebrna - jądro systemu finansowo-politycznego Jarosława Kaczyńskiego. Szczyt bezczelności - uwłaszczyć się na majątku Skarbu Państwa i mówić o uczciwości.
"|0
"Propaganda o. Rydzyka jest też proporcjonalna do strumienia pieniędzy, które płyną z publicznej kasy do jego imperium pod różnymi pretekstami.
"|0
"Widać, że ludzie którzy byli pełnomocnikami Srebrnej, a tam faktycznie przewinęła się masa prawników, zostali umocowani w najważniejszych instytucjach państwowych. Zastanawiam się, po co w Srebrnej tylu mecenasów? Co oni robili w spółce wynajmującej biura? Oprowadzali najemców, żarówki wkręcali?
"|0
"Z pożyczek ze SKOK Stefczyk sfinansowany był rozruch Amber Gold. (...) Fakty są takie, że na kapitał założycielski Amber Gold Marcina P. zbierał poprzez pożyczki w SKOK-ach.
"|0
"Będziemy mieszkać obok wolnej Białorusi, jesteśmy tego pewni.
"|0
"Bohaterami mojej młodości byli Gerard Philipe i Marcello Mastroianni. Nie mogę nie wspomnieć o Bardotce, która także potrafiła być niezłą aktorką. Przede wszystkim jednak urzekały mnie jej uroda i przebojowość. Dla piętnastoletniego chłopca Brigitte Bardot znaczyła naprawdę wiele. Jeżeli zaś chodzi o wskazanych przeze mnie mężczyzn, to tworzyli na ekranie niepowtarzalny klimat, chociaż każdy z nich na swój własny sposób. Philipe był amantem, tymczasem Mastroianni wyrażał na ekranie najbardziej bolesne życiowe problemy współczesnych mu Europejczyków.
"|0
"Jestem Polakiem i nigdy nie będę zapominał skąd przyszedłem, ale w Parlamencie Europejskim rozwiązujemy problemy europejskie.
"|0
"Mamy takie bardzo przyjazne relacje, chociaż kampania była normalna, konkurowaliśmy ze sobą. Być może uznał, że jego szanse zmalały. Być może były jakieś inne powody – trudno mi powiedzieć. Na pewno także rozmowy polsko-włoskie na najwyższym szczeblu miały tutaj duże znaczenie i mogły na to wpłynąć, a także rozmowy we frakcji.
"|0
"Na wyborczych jarmarkach cudów najsprawniejsze są zawsze ugrupowania lewicowe. Specjaliści od gruszek na wierzbie, życia na kredyt i korzystania z cudzego dorobku.
"|0
"Obalajmy mury, nie wznośmy nowych.
"|0
"Ogromnie zaniepokoiła mnie wiadomość o tym, że białoruskie władze wciąż prześladują osoby walczące o swoje podstawowe prawa. Urządzanie łapanek na ulicach przypomina najgorsze komunistyczne czasy, do których nie chcemy już nigdy wrócić. To niedopuszczalne, aby dochodziło do takich sytuacji na naszym kontynencie w XXI wieku! Wzywam białoruskie władze do uwolnienia Alaksandra Bialackiego i wszystkich innych bezzasadnie przetrzymywanych więźniów politycznych. Takie represje sprawią jedynie, że społeczeństwo połączy siły, by osiągnąć nadrzędny cel – wolność i swobody obywatelskie. Na Białorusi również w końcu nastąpią zmiany, podobnie jak miało to miejsce na wybrzeżach Afryki Północnej. Parlament Europejski zawsze stoi po stronie Białorusinów.
"|0
"Oprócz tych poważnych rozmów, są także lżejsze sprawy. W środę wieczorem będziemy strzelać rzuty karne. Będą kandydaci na przewodniczącego będą bronić w bramce. To są takie trochę weselsze i luźniejsze metody kampanii.
"|0
"Parę rzeczy trzeba zrobić bardzo szybko i bardzo mocno, jeśli Unia Europejska jako całość a także Parlament mają pokazać, że decydujemy o losach europy i świata. Żeby Europejczycy poczuli, co to jest Unia.
"|0
"PE szczerze chciałby, by pan Farinas był obecny w Strasburgu, by mógł osobiście odebrać nagrodę. W duchu współpracy i wzajemnego szacunku apeluję do Pana i władz Kuby, by udzieliły niezbędnego pozwolenia na podróż pana Farinasa do Strasburga w celu odebrania nagrody im. Sacharowa przyznawanej za wolność myśli.
"|0
"Skoro przeprasza to jest skruszony. Skoro jest skruszony to trzeba wybaczyć. Tak nakazuje chrześcijaństwo.
"|0
"To, że są ludzie, którzy o członkostwie w Unii Europejskiej mówią sceptycznie, to jest normalne. Proszę o tym pamiętać, że nawet takie oczywiste fakty jak Holokaust, temu zaprzecza jakaś część ludzi. Jak pytać, to nie wszyscy w to wierzą. A jest to sprawa tak oczywista, że nie powinno być tu żadnych wątpliwości. A więc to nic dziwnego, że są ludzie, którzy myślą nieco inaczej.
"|0
"Buta, łgarstwo, agresja, serwilizm, zarozumiałość, cynizm, zadufanie, arogancja, konfetti.
"|0
"Jesteśmy tutaj, ponieważ totalne państwo PiS próbuje karać za to, że ktoś przyszedł na czarno ubrany do pracy. Zaraz rozpocznie się coś, co ma znamiona procesu Kafki – absurdalne zarzuty sformułowane tylko dlatego, że nauczycielki przyszły na czarno ubrane do pracy. Co więcej – nie manifestowały swoich poglądów, nie mówiły o czarnym proteście, zrobiły jedynie zdjęcie, które umieściły na portalu społecznościowym.
"|0
Jeżeli pan poseł Kaczyński, prawnik, po tylu latach w Sejmie, nie rozumie, czym jest immunitet poselski, to chętnie mu przypomnę: za wykonywanie mandatu poseł podlega wyłącznie karom dyscyplinarnym, a nie |0
". (…) Przypomnę, że to on miał w 1994 roku proces karny za ujawnienie tajemnicy państwowej. Proces został umorzony. Sąd stwierdził, że poseł nie może być karany za coś, co powiedział z mównicy sejmowej. Chroni go bowiem immunitet materialny, którego nawet Sejm nie może uchylić. Podaję sygnaturę akt tej sprawy, każdy może sprawdzić: X Kz 428/23.
"|0
"Julia Przyłębska bierze udział w pisowskich imprezach. Nie jest niezależna. Odbiera jakieś kuriozalne nagrody od sponsorowanych przez skarb państwa biuletynów partyjnych. Przyłębska nie ukrywa nawet, że jest osobą politycznie związaną z tym obozem. To ostatni człowiek, który powinien być w Trybunale Konstytucyjnym.
"|0
"Pan minister Patryk Jaki jest ostatnią osobą, która powinna tutaj zabierać głos. Dlaczego? Bo pan, zamiast dbać o polskie więziennictwo, przez ostatni rok na koszt polskich podatników zajmował się kampanią wyborczą, którą na szczęście dla warszawiaków przegrał pan z kretesem.
"|0
"Oczekujemy, że Morawski będzie miał na tyle odwagi, by zrzec się tego rzekomego mandatu (sędziego TK), który sprawuje. PiS do TK wpuścił funkcjonariuszy partyjnych, którzy nie ukrywają, że reprezentują jedną opcję polityczną.
"|0
"Pan jest wyjątkową osobą, ponieważ amnezję, którą pan potrafił uruchomić we właściwym czasie, pan ją uruchamia wtedy, gdy zmieniają się pana poglądy. Dopóki był śp. Lech Kaczyński, pan nie odważył się podnieść ręki na wymiar sprawiedliwości, bo na szczęście był ktoś, kto rozumiał, na czym polega trójpodział władzy. Tym aktem prawnym, tym zestawem ustaw państwo próbujecie zdusić polską demokrację.
"|0
"Robert, czy Ty nie jesteś w stanie wytrzymać godziny bez ataku na PO? Rozumiem, że Twoją wojną nie jest wojna z PiS-em, bo do tego trzeba twardzieli. Ale dlaczego jako wroga wybierasz PO? Nie lepiej szukać tego, co łączy? Samorząd, Europa, praworządność… Sporo tego.
"|0
"Uważam, że debata na taki temat szkodzi nie tylko Sejmowi, ale też Kościołowi i ludziom wierzącym. Każdy będzie stukał się w głowę, zastanawiał czy posłowie nie mają co robić.
"|0
"Wszystkie osoby wskazane przez PiS do Trybunału Konstytucyjnego - łącznie z panem Jędrejkiem - nie cieszą się dużą estymą w środowisku prawniczym. I mówię to delikatnie. Bo to po prostu osoby bez większego, wymaganego prawniczego doświadczenia. Raczej z marginesu polskiej nauki znalazły się w Trybunale. A znane są głównie z tego, że mają słuszne poglądy, zgodne z linią partii-matki.
"|0
"Wydawało mi się, że są granice głupoty, których nawet Marek Suski nie przekroczy. Myliłem się.
"|0
"Wykorzystuje pan prokuraturę do osobistej wendety na światowej sławy kardiochirurgu, bo nie umie pan zrozumieć, że wszyscy jesteśmy równi wobec prawa, ale wszyscy jesteśmy równi wobec śmierci. I to jest pana największy wstyd. Obiecuję z tego miejsca: już nikt nigdy przez tego pana skrzywdzony nie będzie, i to już się stanie w październiku.
"|0
"Naszą wspólną pasją jest taniec. Dawniej z każdego balu wychodziliśmy ostatni. Teraz, abstrahując od braku czasu, nie wypadałoby nam pozostawać do końca na parkiecie!
"|0
"Jeśli jednak Kościół nie zrobi porządku z o. Rydzykiem, będzie pozwalał na to, żeby ten przyjmował od państwa ponad 77 mln zł, to dokonam apostazji.
"|0
"Był jedynie asystentem Jacka Kuronia i śmiał się z postulatów niepodległościowych. Teraz chciałby zatrzeć swoją przeszłość, opluwając innych. Historia zna już takie przypadki. To smutne i żałosne.
"|0
"Moim zdaniem „Solidarność” robi błąd, bo upartyjnia się. Popiera jednego kandydata, podobnie jak i Kościół nie powinien wspierać jednego kandydata. Taka jest wola władz związkowych. Trzeba zadać sobie pytanie: Dlaczego związek zawodowy „Solidarność” i inne związki zapewne też będą popierały Prawo i Sprawiedliwość? Odpowiedź mamy w ustawie o związkach zawodowych, która pilnie powinna być zmieniona.
"|0
"Nie rozumiem wywodu Girzyńskiego. To jest partyjniackie zacietrzewienie. Mówienie, że za incydentem w Strzałkowie stały władze rosyjskie jest nonsensem. W każdym społeczeństwie są ludzie agresywni, durnowaci, a przecież wiemy, że pierwszy raz podobną tablicę umieściła polska grupa w Smoleńsku. Zrobiła to bez zgody gospodarzy, co jest oczywistym naruszeniem miejscowych praw.
"|0
"Pan Jarosław Kaczyński okazał się człowiekiem małym. Powinien podziękować komisji, że uczciwie przedstawia sprawę i nie posądza go o to, czego nie zrobił. Tymczasem on uważa, że jak ja oczyściłem jego i pana Ziobrę z kilku zarzutów, to dałem mu już błogosławieństwo za cały jego rząd. Pan Kaczyński powinien nas przeprosić, że przez dwa lata mianował jakiś półinteligentów, napuszonych leniuchów śmierdzących, ignorantów na najwyższe stanowiska.
"|0
"Przybyłem tutaj, aby z głębokim bólem poinformować Państwa, że posłowie Jacek Kurski i Arkadiusz Mularczyk to moje wielkie porażki pedagogiczne.
"|0
"Chciałem być w rządzie, a czy ministrem finansów, czy gospodarki… Ale taka była prośba premiera, by ktoś zaufany kierował klubem.
"|0
"Dopiero się okaże, czy rząd będzie potrafił zrealizować wielkie słowa. Na razie w cenie jest dobry uśmiech, polonez na studniówce czy nieistniejąca autostrada wyznaczona gestem premiera.
"|0
"Dziś jestem szefem klubu i to spełnia moje aspiracje. A w przyszłości? Zapewne jakieś będę mieć. Chciałbym współtworzyć przyszły rząd, chciałbym w nim pracować, a czy na stanowisku premiera, wicepremiera czy ministra – czas pokaże.
"|0
Efekty prac komisji Janusza są niezadowalające. We wrześniu wrócimy do sprawy i będziemy musieli rozważyć zmiany w składzie komisji.|0
"Jest – raz jeszcze powtarzam – dobrym, skutecznym przewodniczącym tej komisji, a że kontrowersyjnym politykiem? Z tym się trzeba pogodzić i trzeba zaakceptować.
"|0
"Na 90 proc., Rysiu, załatwię.
"|0
